,Park_ID,Direction_Of_Wind,Average_Breeze_Speed,Max_Breeze_Speed,Min_Breeze_Speed,Var1,Average_Atmospheric_Pressure,Max_Atmospheric_Pressure,Min_Atmospheric_Pressure,Min_Ambient_Pollution,Max_Ambient_Pollution,Average_Moisture_In_Park,Max_Moisture_In_Park,Min_Moisture_In_Park,Location_Type,year,month,day
0,12,233.0,55.48,76.0,38.0,0.0249,8259.0,8300.0,8211.0,260.0,316.0,243.0,285.0,210.0,3,2002,1,1
1,12,211.0,108.68,152.0,60.8,154.38,8208.0,8294.0,8136.0,120.0,280.0,252.0,291.0,201.0,3,2002,2,1
2,12,237.0,95.76,121.6,83.6,34.86,8252.0,8304.0,8146.0,236.0,292.0,234.0,270.0,207.0,3,2002,3,1
3,12,286.0,101.08,129.2,83.6,34.03,8146.0,8249.0,8092.0,204.0,284.0,228.0,264.0,201.0,3,2002,4,1
4,12,281.0,63.08,83.6,45.6,4.98,8341.0,8376.0,8259.0,144.0,316.0,237.0,279.0,213.0,3,2002,5,1
5,12,269.0,69.92,76.0,60.8,14.94,8321.0,8345.0,8294.0,220.0,280.0,252.0,288.0,228.0,3,2002,6,1
6,12,261.0,47.12,68.4,15.2,0.0249,8379.0,8413.0,8345.0,240.0,276.0,255.0,285.0,234.0,3,2002,7,1
7,12,245.0,44.08,60.8,22.8,9.13,8417.0,8454.0,8400.0,96.0,296.0,276.0,291.0,258.0,3,2002,8,1
8,12,224.0,33.44,45.6,15.2,0.0,8458.0,8468.0,8451.0,252.0,296.0,273.0,291.0,243.0,3,2002,9,1
9,12,212.0,47.88,60.8,38.0,6.64,8447.0,8458.0,8420.0,216.0,296.0,282.0,291.0,270.0,3,2002,10,1
10,12,233.0,72.96,91.2,53.2,6.64,8382.0,8413.0,8352.0,248.0,312.0,252.0,279.0,216.0,3,2002,11,1
11,12,306.0,50.16,60.8,38.0,6.64,8434.0,8454.0,8410.0,276.0,316.0,210.0,264.0,183.0,3,2002,12,1
12,12,312.0,22.04,38.0,7.6,0.0249,8444.0,8454.0,8437.0,264.0,328.0,219.0,264.0,174.0,3,2002,1,13
13,12,58.0,12.92,22.8,0.0,0.0,8434.0,8437.0,8427.0,276.0,316.0,267.0,282.0,237.0,3,2002,1,14
14,12,126.0,12.16,15.2,7.6,0.0,8441.0,8447.0,8434.0,188.0,316.0,258.0,288.0,219.0,3,2002,1,15
15,12,181.0,21.28,30.4,7.6,0.0,8441.0,8447.0,8434.0,232.0,288.0,273.0,282.0,261.0,3,2002,1,16
16,12,206.0,51.68,83.6,30.4,28.22,8393.0,8434.0,8365.0,84.0,256.0,285.0,291.0,276.0,3,2002,1,17
17,12,255.0,54.72,91.2,22.8,27.39,8314.0,8358.0,8290.0,240.0,304.0,258.0,291.0,216.0,3,2002,1,18
18,12,259.0,57.0,91.2,30.4,5.81,8311.0,8328.0,8290.0,256.0,308.0,228.0,258.0,207.0,3,2002,1,19
19,12,252.0,80.56,106.4,38.0,43.99,8242.0,8307.0,8222.0,196.0,272.0,252.0,291.0,219.0,3,2002,1,20
20,12,246.0,85.12,114.0,53.2,14.11,8252.0,8304.0,8215.0,236.0,292.0,246.0,264.0,228.0,3,2002,1,21
21,12,274.0,47.88,60.8,38.0,0.0249,8317.0,8338.0,8307.0,280.0,320.0,240.0,255.0,222.0,3,2002,1,22
22,12,255.0,22.8,38.0,7.6,1.66,8369.0,8382.0,8345.0,240.0,304.0,255.0,282.0,234.0,3,2002,1,23
23,12,140.0,38.76,45.6,22.8,0.0249,8358.0,8379.0,8335.0,208.0,260.0,276.0,282.0,267.0,3,2002,1,24
24,12,148.0,47.88,60.8,30.4,27.39,8311.0,8331.0,8294.0,108.0,264.0,288.0,291.0,282.0,3,2002,1,25
25,12,201.0,34.96,60.8,15.2,0.83,8365.0,8403.0,8328.0,232.0,304.0,273.0,291.0,240.0,3,2002,1,26
26,12,85.0,19.76,38.0,7.6,0.0,8444.0,8475.0,8403.0,16.0,240.0,288.0,297.0,279.0,3,2002,1,27
27,12,70.0,40.28,53.2,30.4,0.0249,8468.0,8475.0,8451.0,108.0,272.0,246.0,276.0,219.0,3,2002,1,28
28,12,85.0,41.04,45.6,38.0,2.49,8434.0,8447.0,8423.0,80.0,260.0,252.0,285.0,222.0,3,2002,1,29
29,12,71.0,62.32,76.0,45.6,0.0,8454.0,8488.0,8434.0,248.0,272.0,219.0,231.0,207.0,3,2002,1,30
30,12,64.0,74.48,91.2,68.4,0.0,8506.0,8516.0,8488.0,276.0,344.0,183.0,219.0,108.0,3,2002,1,31
31,12,74.0,51.68,68.4,0.0,0.0,8519.0,8526.0,8512.0,312.0,348.0,168.0,216.0,99.0,3,2002,1,2
32,12,125.0,25.08,45.6,0.0,42.33,8516.0,8543.0,8478.0,40.0,308.0,255.0,291.0,222.0,3,2002,2,2
33,12,137.0,17.48,38.0,0.0,0.0,8526.0,8550.0,8475.0,12.0,292.0,267.0,297.0,228.0,3,2002,3,2
34,12,141.0,31.16,45.6,15.2,0.0,8471.0,8488.0,8454.0,256.0,328.0,210.0,243.0,174.0,3,2002,4,2
35,12,118.0,25.08,38.0,15.2,0.0,8502.0,8529.0,8485.0,276.0,332.0,204.0,240.0,159.0,3,2002,5,2
36,12,61.0,45.6,76.0,30.4,0.0,8560.0,8574.0,8533.0,268.0,336.0,204.0,228.0,156.0,3,2002,6,2
37,12,69.0,59.28,83.6,30.4,0.0,8553.0,8567.0,8543.0,256.0,340.0,231.0,264.0,204.0,3,2002,7,2
38,12,58.0,30.4,53.2,7.6,0.0,8536.0,8547.0,8523.0,236.0,312.0,255.0,276.0,225.0,3,2002,8,2
39,12,82.0,39.52,53.2,30.4,0.0,8547.0,8560.0,8536.0,268.0,332.0,213.0,243.0,192.0,3,2002,9,2
40,12,78.0,19.0,38.0,0.0,0.0,8519.0,8533.0,8506.0,248.0,336.0,216.0,264.0,180.0,3,2002,10,2
41,12,228.0,22.04,38.0,7.6,4.15,8465.0,8499.0,8441.0,24.0,268.0,276.0,294.0,240.0,3,2002,11,2
42,12,300.0,30.4,45.6,22.8,21.58,8379.0,8437.0,8331.0,92.0,292.0,285.0,291.0,267.0,3,2002,12,2
43,12,296.0,44.08,60.8,30.4,4.98,8341.0,8362.0,8300.0,100.0,272.0,273.0,288.0,255.0,3,2002,2,13
44,12,293.0,50.16,68.4,22.8,6.64,8335.0,8389.0,8297.0,160.0,272.0,264.0,288.0,237.0,3,2002,2,14
45,12,235.0,40.28,53.2,15.2,5.81,8393.0,8406.0,8376.0,84.0,264.0,288.0,294.0,279.0,3,2002,2,15
46,12,244.0,41.04,53.2,22.8,3.32,8369.0,8379.0,8341.0,124.0,276.0,285.0,291.0,267.0,3,2002,2,16
47,12,219.0,66.12,91.2,38.0,30.71,8280.0,8335.0,8242.0,180.0,268.0,276.0,291.0,249.0,3,2002,2,17
48,12,273.0,48.64,60.8,22.8,0.0249,8358.0,8451.0,8266.0,260.0,300.0,237.0,264.0,216.0,3,2002,2,18
49,12,221.0,52.44,76.0,15.2,0.0,8454.0,8471.0,8423.0,244.0,332.0,240.0,273.0,180.0,3,2002,2,19
50,12,202.0,63.84,76.0,53.2,8.3,8423.0,8434.0,8410.0,108.0,272.0,270.0,285.0,258.0,3,2002,2,20
51,12,214.0,83.6,114.0,60.8,15.77,8382.0,8427.0,8331.0,112.0,276.0,264.0,288.0,222.0,3,2002,2,21
52,12,214.0,57.0,83.6,38.0,0.0,8365.0,8382.0,8331.0,32.0,264.0,285.0,294.0,276.0,3,2002,2,22
53,12,249.0,47.88,60.8,22.8,0.83,8400.0,8427.0,8382.0,180.0,276.0,282.0,291.0,267.0,3,2002,2,23
54,12,275.0,38.76,53.2,22.8,0.0,8403.0,8420.0,8396.0,264.0,284.0,267.0,285.0,243.0,3,2002,2,24
55,12,278.0,25.84,45.6,7.6,0.0249,8423.0,8437.0,8396.0,20.0,296.0,279.0,297.0,246.0,3,2002,2,25
56,12,213.0,48.64,60.8,30.4,0.83,8393.0,8430.0,8379.0,28.0,256.0,285.0,294.0,273.0,3,2002,2,26
57,12,225.0,41.8,53.2,30.4,0.0249,8386.0,8406.0,8372.0,32.0,192.0,294.0,297.0,291.0,3,2002,2,27
58,12,205.0,31.16,45.6,15.2,0.0,8410.0,8413.0,8406.0,24.0,188.0,294.0,297.0,294.0,3,2002,2,28
59,12,216.0,19.0,30.4,7.6,0.0,8423.0,8441.0,8410.0,16.0,200.0,297.0,300.0,291.0,3,2002,1,3
60,12,74.0,22.8,45.6,0.0,0.0,8430.0,8444.0,8403.0,8.0,36.0,300.0,300.0,297.0,3,2002,2,3
61,12,156.0,40.28,53.2,22.8,4.15,8382.0,8400.0,8376.0,48.0,220.0,288.0,294.0,267.0,3,2002,3,3
62,12,152.0,29.64,38.0,22.8,4.98,8348.0,8386.0,8297.0,36.0,244.0,282.0,297.0,258.0,3,2002,4,3
63,12,87.0,37.24,45.6,30.4,16.6,8321.0,8369.0,8287.0,60.0,304.0,258.0,291.0,222.0,3,2002,5,3
64,12,119.0,23.56,38.0,7.6,0.0,8406.0,8423.0,8372.0,212.0,320.0,240.0,282.0,195.0,3,2002,6,3
65,12,199.0,58.52,91.2,30.4,98.77,8335.0,8403.0,8287.0,144.0,264.0,273.0,288.0,255.0,3,2002,7,3
66,12,248.0,38.76,53.2,15.2,0.0,8434.0,8485.0,8352.0,244.0,276.0,258.0,291.0,231.0,3,2002,8,3
67,12,206.0,54.72,68.4,38.0,0.0,8478.0,8485.0,8471.0,244.0,264.0,264.0,279.0,246.0,3,2002,9,3
68,12,259.0,39.52,53.2,22.8,0.83,8482.0,8495.0,8468.0,220.0,300.0,270.0,288.0,249.0,3,2002,10,3
69,12,264.0,30.4,38.0,22.8,0.0,8492.0,8502.0,8478.0,168.0,304.0,270.0,291.0,231.0,3,2002,11,3
70,12,284.0,20.52,30.4,7.6,0.0,8485.0,8492.0,8475.0,220.0,300.0,282.0,291.0,249.0,3,2002,12,3
71,12,292.0,17.48,30.4,7.6,0.0,8492.0,8499.0,8485.0,248.0,304.0,270.0,291.0,225.0,3,2002,3,13
72,12,186.0,12.16,22.8,7.6,0.0,8475.0,8485.0,8461.0,244.0,320.0,240.0,261.0,213.0,3,2002,3,14
